ip,os,port,name,product,version,banner,risk
192.168.1.1,Linux,22,ssh,,,,MEDIUM
192.168.1.1,Linux,80,http,,,"HTTP/1.1 302 Found
Pragma: no-cache
Cache-Control: no-cache
Content-length: 0
Location: /login.htm
Connection: close

",LOW
192.168.1.1,Linux,443,https,,,,LOW
213.55.243.56,Linux,22,ssh,,,,MEDIUM
213.55.243.56,Linux,80,http,,,,LOW
213.55.243.56,Linux,443,https,,,,LOW
192.168.1.1,Linux,22,ssh,,,,MEDIUM
192.168.1.1,Linux,80,http,,,"HTTP/1.1 302 Found
Pragma: no-cache
Cache-Control: no-cache
Content-length: 0
Location: /login.htm
Connection: close

",LOW
192.168.1.1,Linux,443,https,,,,LOW
192.168.1.16,Unknown,22,ssh,,,,MEDIUM
192.168.1.16,Unknown,80,http,,,,LOW
192.168.1.16,Unknown,443,https,,,,LOW
192.168.1.1,Linux,22,ssh,,,,MEDIUM
192.168.1.1,Linux,80,http,,,"HTTP/1.1 302 Found
Pragma: no-cache
Cache-Control: no-cache
Content-length: 0
Location: /login.htm
Connection: close

",LOW
192.168.1.1,Linux,22,ssh,,,,MEDIUM
192.168.1.1,Linux,80,http,,,"HTTP/1.1 302 Found
Pragma: no-cache
Cache-Control: no-cache
Content-length: 0
Location: /login.htm
Connection: close

",LOW
